Team Number,Advisor,Problem,Ranking,Institution ID
33432,Wenlong Fei,A,Honorable Mention,123
33433,Guosheng Cheng,C,Honorable Mention,123
33434,Guosheng Cheng,D,Honorable Mention,123
33435,Suming Hao,A,Honorable Mention,173
33436,Wenyi Zeng,B,Successful Participant,50
33437,Ping LU,D,Successful Participant,104
33438,Daqin Wang,B,Successful Participant,48
33440,Xiao Huayong,C,Honorable Mention,21
33441,Qingan Cui,D,Meritorious,159
33442,Zixuan Zhu,A,Successful Participant,9
33443,QI KANG,A,Successful Participant,22
33444,Jing Xu,D,Successful Participant,41
33445,Qinghui Zhang,A,Successful Participant,28
33446,xiaomin wang,A,Successful Participant,69
33447,Yaoyao Liu,A,Honorable Mention,201
33448,Xin Wei,A,Successful Participant,202
33449,Yingjun Liu,A,Successful Participant,59
33450,Long Zhang,B,Successful Participant,203
33451,XUSEN CHENG,C,Successful Participant,41
33452,Qifen Jiang,A,Successful Participant,69
33453,Jingzhi Li,A,Successful Participant,146
33454,Qifen Jiang,A,Successful Participant,69
33455,Qifen Jiang,A,Meritorious,69
33456,Qifen Jiang,A,Successful Participant,69
33457,Qifen Jiang,A,Successful Participant,69
33458,Qifen Jiang,A,Successful Participant,69
33459,Chengdong Dong,D,Successful Participant,8
33460,Shengpeng Li,A,Honorable Mention,204
33461,Nvze Wu,A,Successful Participant,204
33462,Han Huang,A,Honorable Mention,205
33463,Yong Ming Liu,A,Successful Participant,66
33464,Guoxing Fang,D,Honorable Mention,41
33465,Peixing Li,A,Successful Participant,23
33466,Chuanju Xu,A,Meritorious,99
33467,Yuan Liu,B,Successful Participant,41
33468,Xiaofang Li,A,Successful Participant,60
33469,Rongning Qu,A,Successful Participant,60
33470,Xiaofang Li,A,Meritorious,60
33471,Rongning Qu,A,Honorable Mention,60
33472,Xiaofang Li,B,Successful Participant,60
33473,Rongning Qu,B,Successful Participant,60
33474,Xiaofang Li,B,Successful Participant,60
33475,Rongning Qu,A,Honorable Mention,60
33476,Xiaofang Li,A,Meritorious,60
33477,Rongning Qu,B,Successful Participant,60
33478,Xiaofang Li,A,Honorable Mention,60
33479,Rongning Qu,A,Successful Participant,60
33480,Xiaofang Li,A,Honorable Mention,60
33481,Rongning Qu,A,Successful Participant,60
33482,Xiaofang Li,A,Successful Participant,60
33483,Rongning Qu,A,Successful Participant,60
33485,Rongning Qu,D,Successful Participant,60
33486,Xiaofang Li,A,Successful Participant,60
33487,Rongning Qu,D,Honorable Mention,60
33488,Xiaofang Li,A,Successful Participant,60
33489,Rongning Qu,A,Successful Participant,60
33490,Xiaofang Li,A,Successful Participant,60
33491,Rongning Qu,A,Honorable Mention,60
33492,Xiaofang Li,B,Successful Participant,60
33493,Rongning Qu,B,Successful Participant,60
33494,Xiaofang Li,A,Successful Participant,60
33495,Rongning Qu,A,Honorable Mention,60
33496,Xiaofang Li,A,Honorable Mention,60
33497,Rongning Qu,D,Honorable Mention,60
33498,Xiaofang Li,C,Successful Participant,60
33499,Rongning Qu,A,Successful Participant,60
33500,Xiaofang Li,A,Successful Participant,60
33501,Rongning Qu,A,Honorable Mention,60
33502,Xiaofang Li,B,Honorable Mention,60
33503,Rongning Qu,A,Successful Participant,60
33504,Xiaofang Li,A,Successful Participant,60
33505,Rongning Qu,A,Successful Participant,60
33506,Xiaofang Li,B,Successful Participant,60
33507,Rongning Qu,A,Successful Participant,60
33508,Xiaofang Li,A,Successful Participant,60
33509,Rongning Qu,A,Successful Participant,60
33510,Xiaofang Li,A,Successful Participant,60
33511,Rongning Qu,B,Honorable Mention,60
33512,Xiaofang Li,A,Successful Participant,60
33513,Rongning Qu,A,Honorable Mention,60
33514,Xiaofang Li,B,Honorable Mention,60
33515,Rongning Qu,A,Honorable Mention,60
33516,Xiaofang Li,A,Successful Participant,60
33517,Rongning Qu,A,Successful Participant,60
33518,Xiaofang Li,B,Successful Participant,60
33519,Rongning Qu,A,Honorable Mention,60
33520,Xiaofang Li,A,Successful Participant,60
33521,Rongning Qu,B,Meritorious,60
33522,Xiaofang Li,A,Successful Participant,60
33523,Rongning Qu,B,Successful Participant,60
33524,Xiaofang Li,D,Honorable Mention,60
33525,Rongning Qu,D,Meritorious,60
33526,Xiaofang Li,A,Meritorious,60
33527,Hua Zhang,B,Successful Participant,123
33528,Rongning Qu,A,Honorable Mention,60
33530,Guoxin Zuo,A,Successful Participant,206
33531,Rongning Qu,B,Meritorious,60
33532,Xiaofang Li,A,Honorable Mention,60
33533,Rongning Qu,D,Honorable Mention,60
33534,Lianzu Jiao,D,Honorable Mention,20
33535,Xiaofang Li,A,Successful Participant,60
33536,Rongning Qu,A,Successful Participant,60
33537,Xiaofang Li,A,Successful Participant,60
33538,Rongning Qu,A,Successful Participant,60
33539,Xiaofang Li,B,Successful Participant,60
33540,Rongning Qu,A,Successful Participant,60
33541,ke zhou,A,Successful Participant,41
33542,Xiaofang Li,A,Successful Participant,60
33543,Guoxin Zuo,B,Successful Participant,206
33544,Hai Jin,B,Successful Participant,103
33545,Jingheng Cai,D,Successful Participant,28
33546,Guofen Zhang,B,Honorable Mention,63
33547,Jianguo Zhang,A,Successful Participant,99
33548,Yuan Cao,A,Successful Participant,26
33549,Yunjie Zhang,B,Successful Participant,61
33550,Xingang Jia,D,Honorable Mention,98
33551,Xingang Jia,D,Honorable Mention,98
33552,Zhongjie Fan,A,Successful Participant,207
33553,Xingang Jia,D,Finalist,98
33554,Xingang Jia,D,Meritorious,98
33555,Weiming Li,B,Successful Participant,6
33556,Xingang Jia,C,Honorable Mention,98
33557,Xingang Jia,D,Successful Participant,98
33558,Xingang Jia,D,Honorable Mention,98
33559,Xingang Jia,C,Honorable Mention,98
33560,Xingang Jia,C,Successful Participant,98
33561,Xingang Jia,D,Honorable Mention,98
33562,KEWEI ZHANG,A,Successful Participant,208
33563,Yingxue Zhao,D,Honorable Mention,41
33564,Wenyi Chai,D,Successful Participant,41
33565,Shiyun Wang,B,Successful Participant,209
33566,Pengwei WANG,A,Successful Participant,210
33567,Hua Zhang,A,Successful Participant,123
33568,Wei Feng,B,Successful Participant,1
33569,Fangrong Yan,D,Successful Participant,211
33570,Jie Ma,A,Honorable Mention,212
33571,Mei Song,A,Meritorious,6
33572,Banghe Han,C,Outstanding Winner,213
33573,Banghe Han,C,Honorable Mention,213
33574,Mu Lin,A,Meritorious,138
33575,Xiaoming Fan,C,Successful Participant,138
33576,Yingzhe Wang,A,Honorable Mention,50
33577,Xiaoming Fan,A,Honorable Mention,138
33578,YINGXUE ZHAO,A,Successful Participant,41
33579,Hao Wang,A,Honorable Mention,3
33580,Ye Jianjun,B,Successful Participant,12
33581,Duokui Yan,A,Successful Participant,38
33582,Xiwen Lu,C,Honorable Mention,45
33583,Xiangtian Dong,B,Successful Participant,8
33584,Xiaojuan Cai,D,Successful Participant,214
33585,Qifen Jiang,C,Honorable Mention,69
33586,Hong Yin,A,Honorable Mention,39
33587,Hou Bo,A,Honorable Mention,20
33588,Jie Qi,A,Successful Participant,48
33589,Yingchun Zhou,A,Successful Participant,66
33590,Lizhuo Zhang,B,Successful Participant,41
33591,Zhihong Luo,A,Honorable Mention,28
33592,Chuanhua Wei,A,Honorable Mention,128
33593,Minglan Wang,A,Honorable Mention,33
33594,HUI Qiao,B,Meritorious,25
33595,Lianzu Jiao,A,Honorable Mention,20
33596,Jie Mao,A,Successful Participant,215
33598,Hao Jiang,D,Honorable Mention,216
33599,Guocan Feng,A,Honorable Mention,28
33600,Zhujun Fan,A,Meritorious,28
33601,Huafei Sun,A,Successful Participant,103
33602,Xiaoning Yue,A,Successful Participant,217
33603,Zuguo He,C,Honorable Mention,6
33604,Jian Yuan,A,Successful Participant,12
33605,Yan Wu,A,Successful Participant,22
33606,Jingzhi Li,A,Successful Participant,146
33607,Qifen Jiang,A,Honorable Mention,69
33608,Zeguang Li,B,Honorable Mention,9
33609,Xiaoming Fan,A,Honorable Mention,138
33610,Xiaoming Fan,D,Honorable Mention,138
33611,xiting zhang,A,Successful Participant,41
33612,Qifen Jiang,A,Successful Participant,69
33613,Shengming Ma,B,Successful Participant,1
33614,Qifen Jiang,A,Meritorious,69
33615,Xiaoming Fan,A,Honorable Mention,138
33616,Qifen Jiang,A,Honorable Mention,69
33617,baoquan ai,A,Successful Participant,33
33618,Huafei Sun,A,Successful Participant,103
33619,Qifen Jiang,C,Honorable Mention,69
33620,Lianwen Zhao,A,Successful Participant,12
33621,XinYuan Zhao,B,Honorable Mention,83
33622,Mu Lin,D,Honorable Mention,138
33623,xiaomin wang,B,Meritorious,69
33624,Hunan Li,A,Successful Participant,33
33625,Mu Lin,C,Meritorious,138
33626,Ivan Corwin,B,Successful Participant,80
33627,Shaohui Zhang,D,Successful Participant,33
33628,Chengzhang Wang,B,Successful Participant,138
33629,Ke Zhou,A,Successful Participant,41
33630,Jianyu Liu,A,Successful Participant,8
33631,Xin Guan,A,Successful Participant,218
33632,Xiaoming Fan,A,Successful Participant,138
33633,YINGZHE WANG,A,Successful Participant,50
33634,Qifen Jiang,A,Honorable Mention,69
33635,li cui,C,Successful Participant,50
33636,Mu Lin,A,Meritorious,138
33637,Mu Lin,D,Meritorious,138
33638,ChongYan Gao,C,Honorable Mention,41
33639,Xiaoming Fan,A,Honorable Mention,138
33640,Chunyue Song,A,Successful Participant,63
33641,Xiaoming Fan,A,Honorable Mention,138
33642,Yong He,D,Successful Participant,71
33643,Yajiang Hao,A,Successful Participant,219
33644,Shuqin Liu,A,Successful Participant,128
33645,Deqiang Gan,B,Successful Participant,63
33646,Zhuo Zhang,A,Honorable Mention,6
33647,FengFei GONG,A,Honorable Mention,66
33648,Qingshan Xu,A,Successful Participant,98
33649,Huiliang Shang,A,Meritorious,26
33650,Xiaobao Zhu,A,Meritorious,39
33651,Shuisheng Zhou,C,Honorable Mention,213
33652,Shuisheng Zhou,C,Honorable Mention,213
33653,Jimin Ye,C,Honorable Mention,213
33654,Jimin Ye,D,Meritorious,213
33655,Qiang Zhu,C,Honorable Mention,213
33656,Qiang Zhu,C,Successful Participant,213
33657,Jinying Tan,A,Honorable Mention,11
33658,Xuewen Mu,C,Successful Participant,213
33659,Xuewen Mu,C,Honorable Mention,213
33660,Hong Fang,B,Meritorious,11
33661,Yue Song,A,Honorable Mention,213
33662,Yue Song,C,Successful Participant,213
33663,Hailin Feng,D,Honorable Mention,213
33664,Hailin Feng,C,Honorable Mention,213
33665,Shiping Du,B,Successful Participant,145
33666,Feng Ye,C,Honorable Mention,213
33667,Feng Ye,C,Meritorious,213
33668,Zhenguo Bai,D,Successful Participant,213
33669,Zhenguo Bai,D,Honorable Mention,213
33670,Ke Zhou,B,Successful Participant,41
33671,Shengli Zhang,D,Meritorious,213
33672,Feifan Yuan,C,Honorable Mention,210
33673,Shengli Zhang,B,Finalist,213
33674,Mingmin Zhu,C,Honorable Mention,213
33675,Mingmin Zhu,C,Honorable Mention,213
33676,Guifeng Yan,A,Successful Participant,103
33677,Hai Jin,B,Meritorious,103
33678,Yuqian Yang,D,Honorable Mention,213
33679,Yuqian Yang,D,Meritorious,213
33680,Yingzhe Wang,D,Meritorious,220
33681,Qingsong Zou,D,Meritorious,213
33682,Haiyan Fu,D,Honorable Mention,64
33683,Qingsong Zou,D,Honorable Mention,213
33684,Benchong Li,D,Meritorious,213
33685,Benchong Li,A,Honorable Mention,213
33686,Wantao Ning,C,Honorable Mention,213
33687,Wantao Ning,C,Honorable Mention,213
33688,Liang Wang,D,Meritorious,213
33689,Liang Wang,D,Meritorious,213
33690,Lianzu Jiao,C,Honorable Mention,221
33691,Shuangyun Xing,A,Honorable Mention,222
33692,Shuangyun Xing,A,Successful Participant,222
33693,Qiuhui Pan,A,Honorable Mention,223
33694,Shuangyun Xing,A,Honorable Mention,222
33695,Qiuhui Pan,A,Successful Participant,223
33696,Qiuhui Pan,C,Honorable Mention,223
33697,Qiuhui Pan,D,Successful Participant,223
33698,Qiuhui Pan,A,Successful Participant,223
33699,Qiuhui Pan,C,Successful Participant,223
33700,Qiuhui Pan,D,Honorable Mention,223
33701,Qiuhui Pan,C,Honorable Mention,223
33702,Qiuhui Pan,D,Successful Participant,223
33703,Qiuhui Pan,A,Honorable Mention,223
33704,Xiaoming Fan,A,Successful Participant,138
33705,Mu Lin,A,Successful Participant,138
33706,Zixiong Peng,D,Honorable Mention,138
33707,Wei Pu,A,Successful Participant,12
33708,Xiaohang Zhang,A,Meritorious,6
33709,Zhonghua Qiu,B,Honorable Mention,224
33710,Qiuhui Pan,B,Honorable Mention,223
33711,Qiuhui Pan,B,Honorable Mention,223
33712,Qiuhui Pan,A,Successful Participant,223
33713,Qiuhui Pan,B,Successful Participant,223
33714,Qiuhui Pan,A,Honorable Mention,223
33715,Qiuhui Pan,A,Successful Participant,223
33716,Yunjie Zhang,A,Successful Participant,61
33717,Jianghao Hao,A,Successful Participant,27
33718,Xianye Ben,B,Successful Participant,210
33719,Zhuangzhi Fang,A,Successful Participant,225
33720,Peixing Li,A,Successful Participant,28
33721,Hua Li,B,Successful Participant,159
33722,Zhixuan Zhou,C,Honorable Mention,226
33723,Yanling Su,C,Successful Participant,41
33724,Jiawen Bian,B,Successful Participant,227
33725,Jianxin Zhu,A,Successful Participant,63
33726,wencai zhao,B,Honorable Mention,228
33727,Hai Jin,A,Successful Participant,103
33728,Shengshan Cao,B,Successful Participant,229
33729,Tongjiang Yan,A,Successful Participant,230
33730,Zhixuan Zhou,D,Successful Participant,226
33731,Yu Zhang,B,Honorable Mention,231
33732,Tongjiang Yan,A,Successful Participant,230
33733,Tongjiang Yan,A,Successful Participant,230
33734,Tongjiang Yan,A,Honorable Mention,230
33735,Tongjiang Yan,B,Honorable Mention,230
33736,Lu Li,B,Honorable Mention,232
33737,Xiaoming Fan,A,Successful Participant,138
33738,Chengzhang Wang,D,Meritorious,138
33739,Deqing Zhou,A,Honorable Mention,138
33740,Dan Liu,C,Honorable Mention,213
33741,Xiaonan Li,D,Honorable Mention,213
33742,Zhenhua Liu,C,Honorable Mention,213
33743,Qiru Wang,D,Honorable Mention,28
33744,Dandan Yang,C,Meritorious,213
33745,Hongyun Meng,B,Successful Participant,213
33746,Bo Ling,C,Successful Participant,213
33747,Ruihong Li,A,Honorable Mention,213
33748,Xin Fan,A,Successful Participant,223
33749,Xin Fan,A,Successful Participant,223
33750,YUJIE ZHANG,B,Honorable Mention,233
33751,CHUNGUANG CHEN,A,Successful Participant,229
33752,Kangsheng Liu,A,Honorable Mention,63
33753,Yunjie Chen,A,Honorable Mention,123
33754,Qianfeng Tang,A,Successful Participant,234
33755,Peng Huichun,B,Successful Participant,235
33756,Huiping Zhang,A,Successful Participant,39
33757,Chengzhang Wang,B,Honorable Mention,138
33758,Chengzhang Wang,A,Successful Participant,138
33759,Zixiong Peng,D,Meritorious,138
33760,Ruilin Liu,D,Honorable Mention,41
33761,Guifeng Yan,B,Successful Participant,103
33762,Zhihong Lu,D,Successful Participant,6
33763,Linlin Tian,A,Successful Participant,223
33764,Linlin Tian,B,Meritorious,223
33765,Kun Lu,B,Successful Participant,223
33766,Sang Zhaoyang,A,Meritorious,236
33767,Kun Lu,B,Successful Participant,223
33768,Fengqi Li,B,Successful Participant,223
33769,Fengqi Li,D,Successful Participant,223
33770,Qi Jia,A,Successful Participant,223
33771,Qi Jia,B,Honorable Mention,223
33772,Sang Zhaoyang,A,Honorable Mention,236
33773,Hui Lu,A,Successful Participant,223
33774,Jianguo Zhang,A,Successful Participant,99
33775,Hui Lu,A,Successful Participant,223
33776,Sang Zhaoyang,A,Successful Participant,236
33777,Sun Yuhua,A,Successful Participant,236
33778,Xin Fan,A,Successful Participant,223
33779,jianguo Liu,C,Successful Participant,107
33780,Hui Lu,C,Honorable Mention,223
33781,Hui Lu,D,Honorable Mention,223
33782,Xiujiang Li,A,Successful Participant,229
33783,Sun Yuhua,A,Successful Participant,236
33784,Xin Fan,A,Honorable Mention,223
33785,Xin Fan,D,Successful Participant,223
33786,Sun Yuhua,D,Meritorious,236
33787,Wei Liu,A,Successful Participant,237
33788,Sun Yuhua,B,Successful Participant,236
33789,Xiangbing Chen,A,Successful Participant,238
33790,Sheng shan Cao,B,Successful Participant,229
33791,Wei Liu,A,Successful Participant,237
33792,Kui Zhang,B,Successful Participant,237
33793,Kui Zhang,A,Successful Participant,237
33794,Zhang Wenbo,B,Successful Participant,6
33795,Xidao Luan,B,Successful Participant,237
33796,Jing Liu,B,Successful Participant,239
33797,Jing Liu,A,Honorable Mention,239
33798,Jing Liu,B,Meritorious,239
33799,Jing Liu,A,Meritorious,239
33800,Jing Liu,B,Successful Participant,239
33801,Jing Liu,A,Honorable Mention,239
33802,Jing Liu,B,Honorable Mention,239
33803,Jing Liu,B,Meritorious,239
33804,Jing Liu,B,Meritorious,239
33805,Jing Liu,C,Successful Participant,239
33806,Jing Liu,A,Successful Participant,239
33807,Jing Liu,B,Honorable Mention,239
33808,Jing Liu,A,Honorable Mention,239
33810,Jing Liu,A,Successful Participant,239
33811,Jing Liu,A,Honorable Mention,239
33812,Daoqing Dai,B,Honorable Mention,5
33813,Jing Liu,A,Honorable Mention,239
33814,Jing Liu,A,Successful Participant,239
33815,Jing Liu,A,Successful Participant,239
33816,Jing Liu,A,Honorable Mention,239
33817,Jing Liu,A,Honorable Mention,239
33818,Zhijie Cai,A,Honorable Mention,26
33819,Jing Liu,B,Meritorious,239
33820,Wangyong Lv,A,Successful Participant,240
33821,Jing Liu,A,Successful Participant,239
33823,Zhijie Cai,B,Meritorious,26
33824,Sun Qingying,A,Successful Participant,236
33825,Long Zhang,A,Successful Participant,203
33826,Wu Guoli,D,Honorable Mention,236
33827,Wu Guoli,A,Successful Participant,236
33828,Xing Lili,A,Successful Participant,236
33829,Wu Guoli,A,Honorable Mention,236
33830,Shuisheng Zhou,C,Honorable Mention,213
33831,Jimin Ye,C,Honorable Mention,213
33832,Banghe Han,B,Honorable Mention,213
33833,Banghe Han,D,Honorable Mention,213
33834,Sun Qingying,B,Honorable Mention,236
33835,Xing Lili,D,Honorable Mention,236
33836,Yue Song,C,Successful Participant,213
33837,Wu Guoli,A,Successful Participant,236
33838,Qiang Zhu,C,Successful Participant,213
33839,Xiongda Chen,A,Successful Participant,22
33840,Jiajun Zhang,A,Honorable Mention,28
33841,Jiawen Bian,B,Honorable Mention,227
33842,"Qiuhua Tang, Liping Zhang",B,Meritorious,241
33843,Hailin Feng,C,Honorable Mention,213
33844,Xiaohan Yang,A,Successful Participant,22
33845,Chuan He,B,Honorable Mention,31
33846,Yanlin Tang,A,Successful Participant,22
33847,Feng Ye,C,Successful Participant,213
33848,Xing Lili,B,Honorable Mention,236
33849,Xuewen Mu,A,Successful Participant,213
33850,Junfeng Yin,B,Successful Participant,22
33851,Sun Qingying,D,Meritorious,236
33852,Linlin Tian,B,Successful Participant,223
33853,Linlin Tian,A,Honorable Mention,223
33854,Hong Shen,D,Meritorious,63
33855,Xiaoming Fan,C,Successful Participant,138
33857,Quan Wen,D,Successful Participant,242
33858,Long Zhang,A,Successful Participant,203
33859,Linlin Tian,A,Successful Participant,223
33860,Kun Lu,C,Successful Participant,223
33861,Long Zhang,C,Successful Participant,203
33862,"Qiuhua Tang, Liping Zhang",A,Successful Participant,241
33863,Xiaoming Fan,B,Honorable Mention,138
33864,xiaofan He,B,Successful Participant,1
33865,Fengqi Li,A,Honorable Mention,223
33866,Fengqi Li,B,Honorable Mention,223
33867,Youling Feng,A,Successful Participant,243
33868,Weiguo Li,A,Successful Participant,244
33869,"Liping Zhang, Qiuhua Tang",B,Honorable Mention,241
33870,Yan Wang,A,Honorable Mention,236
33871,Mou Haining,B,Meritorious,236
33872,Weiguo Li,A,Honorable Mention,244
33873,Weiguo Li,A,Successful Participant,244
33874,xiang rong wu,A,Honorable Mention,245
33875,Sang Zhaoyang,A,Honorable Mention,236
33876,Yan Wang,A,Successful Participant,236
33877,Qiuhui Pan,A,Successful Participant,223
33879,Weiguo Li,C,Meritorious,244
33880,Qiuhui Pan,A,Successful Participant,223
33881,Yan Wang,B,Meritorious,236
33882,Mou Haining,A,Honorable Mention,236
33883,Qiuhui Pan,B,Meritorious,223
33884,Qiuhui Pan,A,Honorable Mention,223
33885,Xing Lili,B,Honorable Mention,236
33886,Qiuhui Pan,A,Meritorious,223
33887,Mou Haining,A,Honorable Mention,236
33888,Qiuhui Pan,A,Successful Participant,223
33889,Qiuhui Pan,A,Honorable Mention,223
33890,Qiuhui Pan,A,Successful Participant,223
33891,Zhenglu Jiang,A,Successful Participant,28
33892,Mou Haining,B,Successful Participant,236
33893,Qiuhui Pan,B,Successful Participant,223
33894,Yanhui Guan,C,Successful Participant,28
33895,Qiuhui Pan,A,Successful Participant,223
33897,Gengxin Zheng,B,Successful Participant,128
33898,Xiangbing Chen,A,Successful Participant,246
33899,Jun Yang,D,Honorable Mention,247
33900,Qifen Jiang,C,Outstanding Winner,69
33901,Zixiong Peng,D,Successful Participant,138
33902,Xiaoming Fan,A,Successful Participant,138
33903,Zhiming Hu,B,Successful Participant,207
33904,Xiaojie Wang,A,Successful Participant,6
33905,Shenquan Liu,A,Successful Participant,248
33906,Zeng-shun Zhao,D,Successful Participant,76
33907,Yuchen Cao,B,Successful Participant,63
33908,Bing Chen,A,Successful Participant,76
33909,Hongxia Liu,D,Honorable Mention,76
33910,Jun Liu,D,Honorable Mention,236
33911,Yongli Wang,D,Meritorious,76
33912,Yijun Zhao,B,Successful Participant,76
33913,XUAN HUA SHI,C,Successful Participant,249
33914,Wencai Zhao,B,Successful Participant,76
33915,Di Fan,B,Successful Participant,76
33916,Yongli Wang,D,Honorable Mention,76
33917,Xingzhen Bai,A,Honorable Mention,76
33918,Qinghui Zhang,A,Successful Participant,28
33919,Dehua Li,A,Honorable Mention,76
33920,Baoye Song,B,Successful Participant,76
33921,Zixiong Peng,D,Successful Participant,138
33922,Yi Wang,A,Successful Participant,76
33923,Jun Liu,B,Honorable Mention,236
33924,Yijun Zhao,A,Successful Participant,76
33925,Yijun Zhao,A,Successful Participant,76
33926,Zhengqing Fu,B,Successful Participant,76
33927,Jun Liu,A,Meritorious,236
33928,Bo Wu,D,Honorable Mention,76
33929,Chunjin Zhang,A,Honorable Mention,76
33931,Yinjing Guo,A,Honorable Mention,76
33932,Jun Liu,A,Successful Participant,236
33933,Bo Meng,B,Honorable Mention,76
33934,Longqing Shi,A,Successful Participant,76
33935,Lianzu Jiao,A,Successful Participant,33
33936,Changyin Zhou,D,Honorable Mention,76
33937,Xinzeng Wang,D,Honorable Mention,76
33938,Yinjing Guo,A,Successful Participant,76
33939,Jinxiao Liu,A,Successful Participant,76
33940,Yongsheng Ren,B,Meritorious,76
33941,Gang Dou,A,Successful Participant,76
33942,Yinjing Guo,D,Successful Participant,76
33943,YiJun Zhao,A,Honorable Mention,250
33944,Jiao Mo,A,Honorable Mention,6
33945,Xiang Gao,A,Honorable Mention,229
33946,Shengshan Cao,A,Successful Participant,229
33947,Ying Zhang,A,Successful Participant,9
33948,Xiaoming Fan,B,Honorable Mention,138
33949,Jianxin Zhu,B,Successful Participant,63
33950,Mei Lu,C,Successful Participant,207
33951,ChengDong Dong,B,Successful Participant,8
33952,Liping Zhang,A,Honorable Mention,251
33953,Shi Rengang,B,Successful Participant,236
33954,Shi Rengang,B,Successful Participant,236
33955,Shi Rengang,A,Honorable Mention,236
33956,Wang Hongzhou,A,Successful Participant,103
33957,Ge Ju,A,Meritorious,236
33958,Jianyu Pan,A,Honorable Mention,66
33960,Wang Hongzhou,A,Honorable Mention,103
33961,Ming Zhu,A,Successful Participant,223
33962,Wang Hongzhou,A,Successful Participant,103
33963,Ming Zhu,A,Honorable Mention,223
33964,Zhong Zhou,A,Honorable Mention,223
33965,Lv xianrui,D,Meritorious,242
33967,Lv xianrui,A,Honorable Mention,242
33968,Nanhai Yang,B,Successful Participant,223
33970,Yang Liu,A,Successful Participant,1
33971,liu jiang hui,D,Successful Participant,252
33972,Hong Shen,A,Honorable Mention,63
33973,fang yong fei,B,Successful Participant,103
33974,Jialiang Xiang,B,Honorable Mention,22
33975,Hualong Zhang,B,Honorable Mention,22
33976,Jin Liang,A,Honorable Mention,22
33977,Zhijian Qian,A,Meritorious,22
33978,Wei Wang,D,Honorable Mention,22
33979,Lingjun Zhou,B,Meritorious,22
33980,Yuan Cao,B,Meritorious,26
33981,Jun Li,D,Successful Participant,213
33982,Yiting Yang,C,Successful Participant,22
33983,Changshui Huang,A,Honorable Mention,22
33984,Lina Li,A,Honorable Mention,22
33985,Cheng Wang,A,Successful Participant,22
33986,Jianguo Wu,A,Successful Participant,22
33987,Minbo Yang,D,Honorable Mention,253
33988,Margot Gerritsen,A,Honorable Mention,254
33989,ZHI LIU,A,Successful Participant,255
33990,Zhang Xinhong,C,Successful Participant,236
33991,Sun Qingying,A,Honorable Mention,236
33992,Zhang Xinhong,A,Successful Participant,236
33993,Haiyan Li,A,Successful Participant,256
33994,Jiang Lingling,A,Successful Participant,236
33995,Haiyan Li,B,Successful Participant,256
33996,Yang Lei,A,Successful Participant,236
33997,Jundong Yang,A,Successful Participant,256
33998,Hong Wei,A,Successful Participant,256
33999,Yang Lei,C,Successful Participant,236
34000,Jundong Yang,A,Successful Participant,256
34001,Yang Lei,B,Successful Participant,236
34002,Hao Wu,B,Successful Participant,256
34003,Bo Li,A,Successful Participant,256
34004,Yang Lei,C,Successful Participant,236
34005,Yaqun Huang,A,Honorable Mention,256
34006,Bo Li,A,Honorable Mention,256
34007,Mingchuan Tan,A,Honorable Mention,256
34008,Huaixiong Zhang,A,Honorable Mention,256
34009,Wenjing Lee,A,Successful Participant,257
34010,Yongdong Zhang,A,Successful Participant,28
34011,Guangkun Sun,A,Honorable Mention,258
34012,Li Zhang,D,Honorable Mention,22
34014,Jiang Lingling,A,Successful Participant,236
34015,Yusheng Li,A,Meritorious,22
34016,Zhang Jingming,B,Successful Participant,236
34017,Meisong Tong,A,Honorable Mention,22
34018,Xiongda Chen,B,Honorable Mention,22
34019,Xiaohan Yang,A,Honorable Mention,22
34020,Yanlin Tang,D,Honorable Mention,22
34021,Junfeng Yin,A,Successful Participant,22
34022,Jialiang Xiang,B,Honorable Mention,22
34023,Hualong Zhang,A,Honorable Mention,22
34024,Jin Liang,B,Successful Participant,22
34025,Zhijian Qian,B,Meritorious,22
34026,Wei Wang,B,Successful Participant,22
34027,Lingjun Zhou,A,Successful Participant,22
34028,Yiting Yang,C,Successful Participant,22
34029,Zhang Jingming,A,Honorable Mention,236
34030,Junjie Zhou,A,Successful Participant,159
34031,Zhang Jingming,A,Successful Participant,236
34032,Zhang Jingming,A,Successful Participant,236
34033,Qifen Jiang,A,Successful Participant,69
34034,Qifen Jiang,D,Meritorious,69
34035,Qifen Jiang,A,Successful Participant,69
34036,jinquan li,A,Honorable Mention,163
34037,Meisong Tong,B,Successful Participant,22
34038,jinquan li,A,Successful Participant,163
34039,Xin Fan,A,Successful Participant,223
34040,Xin Fan,D,Meritorious,223
34041,Ming Zhu,D,Successful Participant,223
34042,Ming Zhu,B,Successful Participant,223
34043,Ge Ju,A,Successful Participant,236
34044,XiaoMing Fan,D,Honorable Mention,138
34045,Kun Lu,A,Successful Participant,223
34046,Wenqiang Luo,B,Honorable Mention,233
34047,Hunan Li,A,Honorable Mention,33
34048,Zuoqiang Shi,D,Honorable Mention,207
34049,Bo Hou,B,Successful Participant,259
34050,Qi Wang,A,Successful Participant,16
34051,Zhaoxu Sun,A,Honorable Mention,138
34052,Taishan Zeng,A,Successful Participant,33
34053,Sheng-Ming Ma,A,Successful Participant,38
34054,Jiang Du,A,Successful Participant,3
34055,Sang Zhaoyang,A,Successful Participant,236
34056,Shengshan Cao,B,Successful Participant,260
34057,ziting Wang,A,Successful Participant,236
